location,label,side,material,grade,width,height,length,quantity,level
INTERNAL,GF-LD1,SQUARE,Stud,C16,38,89,2248,7,GF Walls
INTERNAL,GF-LD1,SQUARE,Noggin,C16,38,89,322,1,GF Walls
INTERNAL,GF-LD1,SQUARE,Top Rail,C16,38,89,2381,1,GF Walls
INTERNAL,GF-LD1,SQUARE,Bottom Rail,C16,38,89,2381,1,GF Walls
INTERNAL,GF-LD1,SQUARE,Noggin,C16,38,89,360,4,GF Walls
INTERNAL,GF-LD1,SQUARE,Noggin,C16,38,89,341,1,GF Walls
INTERNAL,GF-LD2,SQUARE,Stud,C16,38,89,2248,7,GF Walls
INTERNAL,GF-LD2,SQUARE,Noggin,C16,38,89,323,1,GF Walls
INTERNAL,GF-LD2,SQUARE,Noggin,C16,38,89,360,2,GF Walls
INTERNAL,GF-LD2,SQUARE,Top Rail,C16,38,89,2020,1,GF Walls
INTERNAL,GF-LD2,SQUARE,Bottom Rail,C16,38,89,2020,1,GF Walls
INTERNAL,GF-LD2,SQUARE,Noggin,C16,38,89,341,1,GF Walls
INTERNAL,GF-LD2,SQUARE,Noggin,C16,38,89,208,1,GF Walls
INTERNAL,GF-LD2,SQUARE,Junction Stud,C16,38,140,2248,1,GF Walls
INTERNAL,GF-LD3,SQUARE,Stud,C16,38,89,2248,5,GF Walls
INTERNAL,GF-LD3,SQUARE,Noggin,C16,38,89,360,1,GF Walls
INTERNAL,GF-LD3,SQUARE,Bottom Rail,C16,38,89,1251,1,GF Walls
INTERNAL,GF-LD3,SQUARE,Top Rail,C16,38,89,1251,1,GF Walls
INTERNAL,GF-LD3,SQUARE,Noggin,C16,38,89,341,1,GF Walls
INTERNAL,GF-LD3,SQUARE,Noggin,C16,38,89,354,1,GF Walls
INTERNAL,GF-LD4,SQUARE,Stud,C16,38,89,2248,4,GF Walls
INTERNAL,GF-LD4,SQUARE,Bottom Rail,C16,38,89,190,1,GF Walls
INTERNAL,GF-LD4,SQUARE,Top Rail,C16,38,89,190,1,GF Walls
INTERNAL,GF-LD5,SQUARE,Bottom Rail,C16,38,140,2094,1,GF Walls
INTERNAL,GF-LD5,SQUARE,Headbinder,C16,38,140,2094,1,GF Walls
INTERNAL,GF-LD5,SQUARE,Stud,C16,38,140,2033,2,GF Walls
INTERNAL,GF-LD5,SQUARE,Top Rail,C16,38,140,210,1,GF Walls
INTERNAL,GF-LD5,SQUARE,Top Rail,C16,38,140,98,1,GF Walls
