location,label,side,material,grade,width,height,length,quantity,level
INTERNAL,FF-ND1,SQUARE,Stud,C16,38,89,2686,5,FF Walls
INTERNAL,FF-ND1,SQUARE,Top Rail,C16,38,89,2400,1,FF Walls
INTERNAL,FF-ND1,SQUARE,Bottom Rail,C16,38,89,2400,1,FF Walls
INTERNAL,FF-ND1,SQUARE,Junction Stud,C16,38,140,2686,2,FF Walls
INTERNAL,FF-ND10,SQUARE,Stud,C16,38,89,2686,4,FF Walls
INTERNAL,FF-ND10,SQUARE,Bottom Rail,C16,38,89,1330,1,FF Walls
INTERNAL,FF-ND10,SQUARE,Top Rail,C16,38,89,1330,1,FF Walls
INTERNAL,FF-ND2,SQUARE,Top Rail,C16,38,89,2400,1,FF Walls
INTERNAL,FF-ND2,SQUARE,Bottom Rail,C16,38,89,2400,1,FF Walls
INTERNAL,FF-ND2,SQUARE,Stud,C16,38,89,2686,5,FF Walls
INTERNAL,FF-ND3,SQUARE,Bottom Rail,C16,38,89,861,1,FF Walls
INTERNAL,FF-ND3,SQUARE,Top Rail,C16,38,89,861,1,FF Walls
INTERNAL,FF-ND3,SQUARE,Stud,C16,38,89,2686,3,FF Walls
INTERNAL,FF-ND4,SQUARE,Bottom Rail,C16,38,89,826,1,FF Walls
INTERNAL,FF-ND4,SQUARE,Top Rail,C16,38,89,826,1,FF Walls
INTERNAL,FF-ND4,SQUARE,Stud,C16,38,89,2686,3,FF Walls
INTERNAL,FF-ND5,SQUARE,Bottom Rail,C16,38,89,817,1,FF Walls
INTERNAL,FF-ND5,SQUARE,Top Rail,C16,38,89,817,1,FF Walls
INTERNAL,FF-ND5,SQUARE,Stud,C16,38,89,2686,3,FF Walls
INTERNAL,FF-ND6,SQUARE,Stud,C16,38,89,2557,3,FF Walls
INTERNAL,FF-ND6,SQUARE,Top Rail,C16,38,89,114,1,FF Walls
INTERNAL,FF-ND6,ANGLED,Stud,C16,38,89,2407,1,FF Walls
INTERNAL,FF-ND6,SQUARE,Top Rail,C16,38,89,134,1,FF Walls
INTERNAL,FF-ND6,ANGLED,Stud,C16,38,89,1529,1,FF Walls
INTERNAL,FF-ND6,SQUARE,Stud,C16,38,89,2686,2,FF Walls
INTERNAL,FF-ND6,SQUARE,Bottom Rail,C16,38,89,1665,1,FF Walls
INTERNAL,FF-ND6,ANGLED,Stud,C16,38,89,2686,1,FF Walls
INTERNAL,FF-ND6,ANGLED,Stud,C16,38,89,1903,1,FF Walls
INTERNAL,FF-ND6,ANGLED,Top Rail,C16,38,89,1881,2,FF Walls
INTERNAL,FF-ND7,SQUARE,Header,C16,38,89,838,2,FF Walls
INTERNAL,FF-ND7,SQUARE,Top Rail,C16,38,89,2235,1,FF Walls
INTERNAL,FF-ND7,SQUARE,Bottom Rail,C16,38,89,2235,1,FF Walls
INTERNAL,FF-ND7,SQUARE,Stud,C16,38,89,646,6,FF Walls
INTERNAL,FF-ND7,SQUARE,Stud,C16,38,89,2686,6,FF Walls
INTERNAL,FF-ND7,SQUARE,Junction Stud,C16,38,89,2686,1,FF Walls
INTERNAL,FF-ND7,SQUARE,Junction Stud,C16,38,140,2686,2,FF Walls
INTERNAL,FF-ND8,ANGLED,Stud,C16,38,89,1529,1,FF Walls
INTERNAL,FF-ND8,SQUARE,Top Rail,C16,38,89,114,1,FF Walls
INTERNAL,FF-ND8,SQUARE,Stud,C16,38,89,2557,3,FF Walls
INTERNAL,FF-ND8,ANGLED,Stud,C16,38,89,2017,1,FF Walls
INTERNAL,FF-ND8,ANGLED,Top Rail,C16,38,89,293,1,FF Walls
INTERNAL,FF-ND8,SQUARE,Stud,C16,38,89,2686,3,FF Walls
INTERNAL,FF-ND8,SQUARE,Bottom Rail,C16,38,89,1824,1,FF Walls
INTERNAL,FF-ND8,ANGLED,Stud,C16,38,89,2686,1,FF Walls
INTERNAL,FF-ND8,ANGLED,Top Rail,C16,38,89,1881,2,FF Walls
INTERNAL,FF-ND8,ANGLED,Stud,C16,38,89,2520,1,FF Walls
INTERNAL,FF-ND9,SQUARE,Top Rail,C16,38,89,1330,1,FF Walls
INTERNAL,FF-ND9,SQUARE,Bottom Rail,C16,38,89,1330,1,FF Walls
INTERNAL,FF-ND9,SQUARE,Stud,C16,38,89,2686,4,FF Walls
INTERNAL,FF-RD1,ANGLED,Stud,C16,38,89,1849,1,FF Walls
INTERNAL,FF-RD1,SQUARE,Noggin,C16,38,89,207,1,FF Walls
INTERNAL,FF-RD1,SQUARE,Top Rail,C16,38,89,406,1,FF Walls
INTERNAL,FF-RD1,ANGLED,Stud,C16,38,89,2686,1,FF Walls
INTERNAL,FF-RD1,ANGLED,Noggin,C16,38,89,171,1,FF Walls
INTERNAL,FF-RD1,ANGLED,Stud,C16,38,89,2185,1,FF Walls
INTERNAL,FF-RD1,ANGLED,Top Rail,C16,38,89,1881,2,FF Walls
INTERNAL,FF-RD1,SQUARE,Bottom Rail,C16,38,89,1936,1,FF Walls
INTERNAL,FF-RD1,SQUARE,Stud,C16,38,89,2557,3,FF Walls
INTERNAL,FF-RD1,ANGLED,Stud,C16,38,89,2520,1,FF Walls
INTERNAL,FF-RD1,SQUARE,Stud,C16,38,89,2686,4,FF Walls
INTERNAL,FF-RD1,ANGLED,Stud,C16,38,89,1529,1,FF Walls
INTERNAL,FF-RD1,SQUARE,Noggin,C16,38,89,158,1,FF Walls
